Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts,Year
Mumbai Indians MI,14,9,5,0,0,0.421,"2,380/275.1","2,282/277.2",18,2019
Chennai Super Kings CSK,14,9,5,0,0,0.131,"2,043/274.1","2,012/274.5",18,2019
Delhi Capitals DC,14,9,5,0,0,0.044,"2,207/272.5","2,238/278.1",18,2019
Sunrisers Hyderabad SRH,14,6,8,0,0,0.577,"2,288/269.2","2,200/277.5",12,2019
Kolkata Knight Riders KKR,14,6,8,0,0,0.028,"2,466/270.4","2,419/266.2",12,2019
Kings XI Punjab KXIP,14,6,8,0,0,-0.251,"2,429/276.3","2,503/277",12,2019
Rajasthan Royals RR,14,5,8,0,1,-0.449,"2,153/257","2,192/248.2",11,2019
Royal Challengers Bangalore RCB,14,5,8,0,1,-0.607,"2,146/258.4","2,266/254.3",11,2019
Sunrisers Hyderabad SRH,14,9,5,0,0,0.284,"2,230/273.3","2,193/278.4",18,2018
Chennai Super Kings CSK,14,9,5,0,0,0.253,"2,488/275.3","2,433/277.1",18,2018
Kolkata Knight Riders KKR,14,8,6,0,0,-0.07,"2,363/265.1","2,425/270",16,2018
Rajasthan Royals RR,14,7,7,0,0,-0.25,"2,130/255.3","2,141/249.2",14,2018
Mumbai Indians MI,14,6,8,0,0,0.317,"2,380/278.4","2,282/277.3",12,2018
Royal Challengers Bangalore RCB,14,6,8,0,0,0.129,"2,322/264.4","2,383/275.4",12,2018
Kings XI Punjab KXIP,14,6,8,0,0,-0.502,"2,210/268.4","2,259/258.5",12,2018
Delhi Capitals DC,14,5,9,0,0,-0.222,"2,297/258","2,304/252.3",10,2018
Mumbai Indians MI,14,10,4,0,0,0.784,"2,407/272.1","2,242/278.1",20,2017
Rajasthan Royals RR,14,9,5,0,0,0.176,"2,180/271","2,165/275.1",18,2017
Sunrisers Hyderabad SRH,14,8,5,0,1,0.599,"2,221/252","2,118/257.5",17,2017
Kolkata Knight Riders KKR,14,8,6,0,0,0.641,"2,329/260.5","2,300/277.3",16,2017
Kings XI Punjab KXIP,14,7,7,0,0,-0.009,"2,207/261.2","2,229/263.4",14,2017
Delhi Capitals DC,14,6,8,0,0,-0.512,"2,219/276.2","2,255/264",12,2017
Chennai Super Kings CSK,14,4,10,0,0,-0.412,"2,406/269.5","2,472/265",8,2017
Royal Challengers Bangalore RCB,14,3,10,0,1,-1.299,"1,845/260","2,033/242.1",7,2017
